lakeid,sta,year,lastice,datelastice,firstopen,datefirstopen,lastopen,datelastopen,firstice,datefirstice
"CR","1","1983","118","1983-04-28 00:00:00","119","1983-04-29 00:00:00","336","1983-12-02 00:00:00","337","1983-12-03 00:00:00"
"CR","1","1984","110","1984-04-19 00:00:00","111","1984-04-20 00:00:00","331","1984-11-26 00:00:00","336","1984-12-01 00:00:00"
"CR","1","1985","112","1985-04-22 00:00:00","113","1985-04-23 00:00:00","326","1985-11-22 00:00:00","329","1985-11-25 00:00:00"
"CR","1","1986","102","1986-04-12 00:00:00","103","1986-04-13 00:00:00","321","1986-11-17 00:00:00","323","1986-11-19 00:00:00"
"CR","1","1987","98","1987-04-08 00:00:00","99","1987-04-09 00:00:00","334","1987-11-30 00:00:00","337","1987-12-03 00:00:00"
"CR","1","1988","105","1988-04-14 00:00:00","106","1988-04-15 00:00:00","335","1988-11-30 00:00:00","336","1988-12-01 00:00:00"
"CR","1","1989","116","1989-04-26 00:00:00","117","1989-04-27 00:00:00","324","1989-11-20 00:00:00","326","1989-11-22 00:00:00"
"CR","1","1990","103","1990-04-13 00:00:00","106","1990-04-16 00:00:00","334","1990-11-30 00:00:00","337","1990-12-03 00:00:00"
"CR","1","1991","107","1991-04-17 00:00:00","108","1991-04-18 00:00:00","328","1991-11-24 00:00:00","331","1991-11-27 00:00:00"
"CR","1","1992","120","1992-04-29 00:00:00","121","1992-04-30 00:00:00","332","1992-11-27 00:00:00","335","1992-11-30 00:00:00"
"CR","1","1993","120","1993-04-30 00:00:00","122","1993-05-02 00:00:00","328","1993-11-24 00:00:00","335","1993-12-01 00:00:00"
"CR","1","1994","108","1994-04-18 00:00:00","111","1994-04-21 00:00:00","334","1994-11-30 00:00:00","336","1994-12-02 00:00:00"
"CR","1","1995","104","1995-04-14 00:00:00","107","1995-04-17 00:00:00","326","1995-11-22 00:00:00","328","1995-11-24 00:00:00"
"CR","1","1996","131","1996-05-10 00:00:00","132","1996-05-11 00:00:00","327","1996-11-22 00:00:00","330","1996-11-25 00:00:00"
"CR","1","1997","116","1997-04-26 00:00:00","118","1997-04-28 00:00:00","325","1997-11-21 00:00:00","328","1997-11-24 00:00:00"
"CR","1","1998","97","1998-04-07 00:00:00","98","1998-04-08 00:00:00","352","1998-12-18 00:00:00","355","1998-12-21 00:00:00"
"CR","1","1999","104","1999-04-14 00:00:00","105","1999-04-15 00:00:00","350","1999-12-16 00:00:00","351","1999-12-17 00:00:00"
"CR","1","2000","90","2000-03-30 00:00:00","91","2000-03-31 00:00:00","336","2000-12-01 00:00:00","339","2000-12-04 00:00:00"
